# 
# VizieR Astronomical Server vizier.cfa.harvard.edu
# Date: 2016-02-13T00:32:03 [V1.99+ (14-Oct-2013)]
# In case of problem, please report to:	cds-question@unistra.fr
# 
# 
# Coosys	J2000:	eq_FK5 J2000
# INFO	votable-version=1.99+ (14-Oct-2013)
# INFO	-ref=VIZ56be79032983
# INFO	-out.max=99999
# INFO	queryParameters=23
# -oc.form=dec
# -out.max=99999
# -order=I
# -out.src=J/AJ/149/119/table3
# -nav=cat:J/AJ/149/119&tab:{J/AJ/149/119/table3}&key:source=J/AJ/149/119&HTTPPRM:&&-ref=VIZ56be79032983&-out.max=99999&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=2MASS&-out=RAJ2000&-out=DEJ2000&-out=<HRV>&-out=e_<HRV>&-out=Nobs&-out=EW&-out=SpT&-out=K-3.6&-out=3.6-4.5&-out=F06&-out=2M&-ignore=2M=*&2M=2M&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/149/119/table3
# -c.eq=J2000
# -c.r=  2
# -c.u=arcmin
# -c.geom=r
# -source=J/AJ/149/119/table3
# -order=I
# -out=2MASS
# -out=RAJ2000
# -out=DEJ2000
# -out=<HRV>
# -out=e_<HRV>
# -out=Nobs
# -out=EW
# -out=SpT
# -out=K-3.6
# -out=3.6-4.5
# -out=F06
# -out=2M
# 
# RESOURCE=yCat_51490119
# Name: J/AJ/149/119
# Title: Radial velocities of stars in NGC 2264 (Tobin+, 2015)
# Table	J_AJ_149_119_table3:
# Name: J/AJ/149/119/table3
# Title: Velocity summary
# Column	2MASS	(A14)	Internal source name (HHMMSSs+DDMMSS, J2000)	[ucd=meta.id;meta.main]
# Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
# Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
# Column	<HRV>	(F7.2)	[-108/235] Mean Heliocentric Radial Velocity (1)	[ucd=spect.dopplerVeloc;stat.mean]
# Column	e_<HRV>	(F5.2)	Uncertainty in HRV	[ucd=stat.error]
# Column	Nobs	(I2)	[2/14] Number of observations (epochs) (2)	[ucd=meta.number]
# Column	EW	(F6.2)	? Lithium 6707{AA} Equivalent Width	[ucd=spect.line.eqWidth]
# Column	SpT	(F5.1)	[61/77.2]? Numerical spectral type (3)	[ucd=src.spType]
# Column	K-3.6	(F6.2)	[-23/22]? The Ks-[3.6] color index (4)	[ucd=phot.color;em.IR.K;em.IR.3-4um]
# Column	3.6-4.5	(F6.2)	[-22/22]? The [3.6]-[4.5] color index (4)	[ucd=phot.color;em.IR.3-4um;em.IR.4-8um]
# Column	F06	(I3)	Source from Furesz et al. 2006 (cat. J/ApJ/648/1090) within 1.5'' [NULL integer written as an empty string]	[ucd=meta.ref.url]
# Column	2M	(A2)	Display the 2MASS data (Cutri et al. 2003, Cat. II/246)	[ucd=meta.ref.url]
2MASS;RAJ2000;DEJ2000;<HRV>;e_<HRV>;Nobs;EW;SpT;K-3.6;3.6-4.5;F06;2M
0642091+094804;06 42 09.15;+09 48 04.9;11.55;0.19;10;-999;-999;N/A;N/A;1;2M
0642091+095902;06 42 09.11;+09 59 02.8;14.53;0.21;9;-999;-999;0.19;19.48;1;2M
0642091+095945;06 42 09.12;+09 59 45.5;45.84;0.20;3;-999;-999;0.14;21.22;1;2M
0642092+094403;06 42 09.24;+09 44 03.4;2.45;0.44;9;-999;-999;N/A;N/A;1;2M
0642094+093205;06 42 09.48;+09 32 05.5;-95.64;0.14;5;-999;-999;N/A;N/A;1;2M
0642098+094522;06 42 09.89;+09 45 22.1;44.22;0.22;5;-999;-999;N/A;N/A;1;2M
0642101+094024;06 42 10.10;+09 40 25.0;-18.38;0.22;4;-999;-999;N/A;N/A;1;2M
0642102+093604;06 42 10.22;+09 36 04.5;30.65;0.10;5;-999;-999;N/A;N/A;1;2M
0642103+095914;06 42 10.33;+09 59 14.6;55.69;0.14;2;-999;-999;0.22;21.14;1;2M
0642107+095559;06 42 10.77;+09 55 59.6;68.44;1.89;2;-999;-999;N/A;N/A;0;2M
0642113+092903;06 42 11.37;+09 29 03.3;-15.71;0.21;5;-999;-999;N/A;N/A;1;2M
0642113+092904;06 42 11.35;+09 29 04.4;-16.94;1.34;2;-999;-999;N/A;N/A;0;2M
0642113+094345;06 42 11.38;+09 43 45.6;-0.21;1.84;2;-999;-999;N/A;N/A;0;2M
0642114+093423;06 42 11.43;+09 34 23.9;23.54;0.05;2;-999;-999;N/A;N/A;0;2M
0642125+095907;06 42 12.57;+09 59 07.1;8.96;1.02;6;-999;-999;N/A;N/A;1;2M
0642126+093131;06 42 12.67;+09 31 31.6;59.96;0.32;5;-999;-999;N/A;N/A;1;2M
0642127+093009;06 42 12.74;+09 30 09.1;66.97;0.20;7;-999;-999;N/A;N/A;1;2M
0642131+094603;06 42 13.13;+09 46 03.5;14.35;0.27;9;-999;-999;N/A;N/A;1;2M
0642139+095012;06 42 13.95;+09 50 12.6;-15.45;0.08;2;-999;-999;N/A;N/A;1;2M
0642141+094308;06 42 14.15;+09 43 08.9;-34.91;0.10;5;-999;-999;N/A;N/A;1;2M
0642154+092637;06 42 15.46;+09 26 37.2;6.52;0.36;2;-999;-999;N/A;N/A;0;2M
0642157+094033;06 42 15.77;+09 40 33.1;-64.86;0.15;5;-999;-999;N/A;N/A;1;2M
0642166+093400;06 42 16.67;+09 34 00.4;-7.14;0.05;2;-999;-999;N/A;N/A;0;2M
0642167+093652;06 42 16.75;+09 36 52.9;16.26;1.74;2;-999;-999;N/A;N/A;0;2M
0642169+093351;06 42 16.99;+09 33 51.3;76.17;0.28;4;-999;-999;N/A;N/A;1;2M
0642169+094725;06 42 16.91;+09 47 25.2;13.54;0.12;3;-999;-999;N/A;N/A;0;2M
0642177+094052;06 42 17.79;+09 40 52.0;78.21;0.21;2;-999;-999;N/A;N/A;0;2M
0642198+093102;06 42 19.88;+09 31 02.0;-7.19;0.12;2;-999;-999;N/A;N/A;0;2M
0642200+093850;06 42 20.07;+09 38 50.2;82.75;0.08;5;-999;-999;N/A;N/A;1;2M
0642202+093704;06 42 20.27;+09 37 04.5;7.76;1.43;6;-999;-999;N/A;N/A;0;2M
0642227+094612;06 42 22.77;+09 46 12.4;21.89;0.48;2;-999;-999;N/A;N/A;0;2M
0642245+093126;06 42 24.52;+09 31 26.2;8.97;0.47;2;-999;-999;N/A;N/A;0;2M
0642256+094115;06 42 25.69;+09 41 15.6;19.51;0.20;2;-999;-999;N/A;N/A;0;2M
0642257+094151;06 42 25.77;+09 41 51.5;36.88;0.07;2;-999;-999;N/A;N/A;0;2M
0642265+094030;06 42 26.57;+09 40 30.4;43.92;0.11;2;-999;-999;N/A;N/A;0;2M
0642266+093750;06 42 26.69;+09 37 50.4;46.67;0.09;2;-999;-999;N/A;N/A;0;2M
0642272+093940;06 42 27.20;+09 39 40.6;-25.20;0.24;2;-999;-999;N/A;N/A;1;2M
